,customer_id,customer_name,customer_gender,kids_home,teens_home,number_complaints,distinct_stores_visited,spend_groceries,spend_electronics,typical_hour,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,spend_petfood,total_distinct_products,year_first_transaction,latitude,longitude,has_loyalty_card,treated_percentage_of_products_bought_promotion,Education,Children,Age,Total Amount Spent,percentage_spend_groceries,percentage_spend_electronics,percentage_spend_vegetables,percentage_spend_nonalcohol_drinks,percentage_spend_alcohol_drinks,percentage_spend_meat,percentage_spend_fish,percentage_spend_hygiene,percentage_spend_videogames,percentage_spend_petfood,cluster
8,9,Bsc. Nadine Garcia,female,6,4,1,1,5908.0,533.0,19.0,473.0,525.0,225.0,718.0,1351.0,989.0,619.0,1039.0,507.0,2009,38.73012909385201,-9.164006820908403,1,0.1915676720420988,Bsc,10,63,12380.0,0.4772213247172859,0.0430533117932148,0.0382067851373182,0.0424071082390953,0.0181744749596122,0.0579967689822294,0.1091276252019386,0.079886914378029,0.05,0.0839256865912762,Big Families
15,18,Phd. Bruno Goldbeck,male,3,0,1,1,4729.0,987.0,14.0,559.0,614.0,343.0,955.0,732.0,831.0,813.0,1284.0,428.0,2013,38.737679237257225,-9.172308637926648,1,0.1310687908785142,Phd,3,80,11847.0,0.3991727863594159,0.0833122309445429,0.0471849413353591,0.0518274668692496,0.0289524774204439,0.0806111251793703,0.0617877943783236,0.0701443403393264,0.0686249683464168,0.1083818688275512,Big Families
17,20,Msc. Arlene Hernandez,female,3,1,1,2,3405.0,2679.0,16.0,452.0,450.0,140.0,922.0,1195.0,1467.0,1147.0,918.0,234.0,2012,38.79580846144206,-9.202229661220075,1,0.2534887539209757,Msc,4,49,12775.0,0.2665362035225049,0.209706457925636,0.0353816046966731,0.035225048923679,0.010958904109589,0.0721722113502935,0.0935420743639921,0.1148336594911937,0.089784735812133,0.0718590998043052,Big Families
33,39,Msc. Dawn Cannon,female,4,3,0,1,5184.0,231.0,23.0,644.0,449.0,62.0,1524.0,815.0,1838.0,1036.0,1033.0,803.0,2010,38.71162243378552,-9.184993740338864,1,0.111126339742851,Msc,7,68,12816.0,0.4044943820224719,0.0180243445692883,0.0502496878901373,0.0350343320848938,0.0048377028714107,0.1189138576779026,0.0635923845193508,0.1434144818976279,0.08083645443196,0.0806023720349563,Big Families
38,44,Bsc. Sylvia Jones,female,4,2,1,1,4704.0,657.0,19.0,453.0,388.0,190.0,259.0,1907.0,1045.0,1256.0,723.0,1145.0,2010,38.74552487541212,-9.163240614691263,1,0.2666907492335796,Bsc,6,33,11582.0,0.4061474702123985,0.0567259540666551,0.039112415817648,0.0335002590226213,0.016404766016232,0.0223622863063374,0.1646520462787083,0.0902262130892764,0.108444137454671,0.0624244517354515,Big Families
41,47,Phd. Lillian Moore,female,3,0,1,1,6796.0,3441.0,23.0,555.0,613.0,283.0,1262.0,1528.0,1110.0,1150.0,1093.0,176.0,2006,38.73420200373784,-9.17278947184662,1,0.1613124927872491,Phd,3,78,17831.0,0.3811339801469351,0.1929785205540911,0.031125567831305,0.0343783298749369,0.0158712354887555,0.0707756155010936,0.0856934552184398,0.06225113566261,0.064494419830632,0.0612977398912007,Big Families
42,49,Phd. Archie Mickel,male,4,3,1,1,5762.0,1487.0,16.0,615.0,664.0,201.0,1307.0,1263.0,618.0,986.0,767.0,207.0,2005,38.77100873900209,-9.112035706547148,1,0.3246951763058752,Phd,7,84,13670.0,0.4215069495245062,0.1087783467446964,0.0449890270665691,0.0485735186539868,0.0147037307973664,0.0956108266276517,0.0923920994879297,0.0452084857351865,0.0721287490855888,0.0561082662765179,Big Families
56,64,Msc. Homer Rodriguez,male,2,3,1,1,5206.0,2997.0,9.0,549.0,493.0,212.0,1615.0,780.0,893.0,961.0,793.0,345.0,2005,38.75647206963075,-9.207153505150409,1,0.2534887539209757,Msc,5,60,14499.0,0.3590592454652045,0.2067039106145251,0.0378646803227808,0.0340023449893096,0.0146216980481412,0.111386992206359,0.0537968135733498,0.0615904545141044,0.0662804331333195,0.0546934271329057,Big Families
73,87,Phd. Milagro Amelung,female,3,3,1,1,4483.0,1672.0,22.0,546.0,603.0,386.0,490.0,1414.0,1002.0,1328.0,847.0,740.0,2009,38.711422549950406,-9.17072126961104,1,0.2426022473897754,Phd,6,46,12771.0,0.351029676611072,0.1309216192937123,0.0427531125205543,0.0472163495419309,0.0302247278991465,0.0383681779030616,0.1107195990916921,0.0784590086915668,0.1039855923576853,0.0663221360895779,Big Families
85,100,Phd. Patrick Aichele,male,3,2,1,1,5992.0,1939.0,18.0,456.893937976519,301.0,494.0,589.0,1152.0,1480.0,646.0,812.0,599.0,2011,38.69897750800673,-9.158230227918024,1,0.2034240835148474,Phd,5,59,13861.89393797652,0.4322641643927249,0.139879875627085,0.0329604266214154,0.021714204519728,0.0356372658895203,0.0424905862528896,0.0831055269326467,0.1067675172398586,0.0466025784709112,0.0585778540532197,Big Families
86,101,Phd. Kendrick Trudeau,male,3,1,1,1,5599.0,1013.0,21.0,459.0,401.0,323.0,929.0,1175.0,724.0,928.0,971.0,722.0,2008,38.72720886094116,-9.088089258777211,1,0.0582846040051373,Phd,4,54,12522.0,0.4471330458393228,0.0808976201884683,0.0366554863440344,0.0320236383964223,0.0257946015013576,0.0741894266091678,0.0938348506628334,0.0578182398977799,0.0741095671617952,0.077543523398818,Big Families
