,customer_id,customer_name,customer_gender,kids_home,teens_home,number_complaints,distinct_stores_visited,spend_groceries,spend_electronics,typical_hour,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,spend_petfood,total_distinct_products,year_first_transaction,latitude,longitude,has_loyalty_card,treated_percentage_of_products_bought_promotion,Education,Children,Age,Total Amount Spent,percentage_spend_groceries,percentage_spend_electronics,percentage_spend_vegetables,percentage_spend_nonalcohol_drinks,percentage_spend_alcohol_drinks,percentage_spend_meat,percentage_spend_fish,percentage_spend_hygiene,percentage_spend_videogames,percentage_spend_petfood,cluster
4,5,Bsc. Antonio Campbell,male,1,2,1,3,5401.0,3246.0,8.0,162.0,516.0,533.0,1393.0,1817.0,1845.0,1003.0,1778.0,1318.0,2013,38.77721585931284,-9.157392191945473,1,0.0847907436463488,Bsc,3,31,17694.0,0.3052447157228439,0.1834520176330959,0.0091556459816887,0.0291624279416751,0.0301232056064202,0.0787272521758788,0.1026901774612863,0.1042726347914547,0.0566858822199615,0.1004860404656945,Big Spenders
13,15,Msc. Henry Thompson,male,1,2,1,2,5592.0,857.0,13.52057966862436,435.0,781.0,1173.0,1106.0,2429.0,1970.0,532.0,1487.0,69.0,2007,38.78189236217995,-9.180674848555096,1,0.2152549238625725,Msc,3,39,16362.0,0.3417675100843417,0.052377459968219,0.0265859919325265,0.047732551032881,0.0716905023835716,0.0675956484537342,0.1484537342623151,0.120400928981787,0.0325143625473658,0.0908813103532575,Big Spenders
20,23,Bsc. Patricia Williams,female,1,1,0,2,5278.0,2098.0,8.0,432.0,603.0,1103.0,942.0,2307.0,1827.0,1279.0,2454.0,578.0,2005,38.77105635862883,-9.183954635660504,1,0.2064879060028512,Bsc,2,65,18323.0,0.2880532663865087,0.1145009005075588,0.0235769251760082,0.0329094580581782,0.0601975659007804,0.0514107951754625,0.1259073295857665,0.0997107460568684,0.0698029798613764,0.1339300332914915,Big Spenders
25,29,Bsc. Debra Mcleod,female,0,0,0,1,1507.0,3153.0,15.0,378.0,381.0,544.0,809.0,1205.0,744.0,581.0,1379.0,236.0,2016,38.759263076265896,-9.167389153866408,1,0.1021439883050473,Bsc,0,29,10681.0,0.141091658084449,0.2951970789251942,0.0353899447617264,0.0356708173392004,0.0509315607152888,0.0757419717254938,0.1128171519520644,0.0696563992135567,0.0543956558374684,0.1291077614455575,Big Spenders
26,30,Phd. Melissa Earing,female,1,1,1,2,5234.0,3117.0,9.0,435.0,292.0,1518.0,554.0,1487.0,2250.0,624.0,2188.0,1566.0,2009,38.72057322473032,-9.12627189283156,1,0.3935673395325331,Phd,2,62,17699.0,0.2957229221989943,0.1761116447256907,0.0245776597547884,0.016498107237697,0.0857675574891236,0.0313012034578224,0.0840160461042996,0.127125826317871,0.0352562291654895,0.123622803548223,Big Spenders
36,42,Msc. Bonny Correa,female,0,0,0,2,5141.0,3656.0,17.0,454.0,429.0,391.0,481.0,1130.0,640.0,1189.0,1519.0,447.0,2018,38.76324044817664,-9.096304921665446,1,0.3129000232601048,Msc,0,29,15030.0,0.3420492348636061,0.2432468396540252,0.0302062541583499,0.0285429141716566,0.0260146373918829,0.0320026613439787,0.0751829673985362,0.0425815036593479,0.0791084497671324,0.1010645375914837,Big Spenders
59,68,Msc. Sandra Britt,female,1,0,1,3,2778.0,3502.0,10.0,209.0,631.0,573.0,1116.0,2213.0,2366.0,584.0,1481.0,935.0,2010,38.72461275992645,-9.117304811276702,1,0.1655444634340308,Msc,1,63,15453.0,0.1797709182682974,0.2266226622662266,0.0135248818999547,0.0408334951142173,0.0370801786060959,0.0722189866045428,0.1432084384909079,0.1531094285899178,0.0377920144955672,0.0958389956642723,Big Spenders
60,70,Bsc. Erik Murray,male,0,1,1,3,3878.0,933.0,8.0,332.0,746.0,458.0,821.0,2370.0,2188.0,1071.0,1564.0,1297.0,2015,38.73922425021307,-9.119733802715327,1,0.2534887539209757,Bsc,1,32,14361.0,0.270036905507973,0.0649676206392312,0.0231181672585474,0.0519462432978204,0.0318919295313696,0.057168720841167,0.1650302903697514,0.1523570781978971,0.0745769793189889,0.1089060650372536,Big Spenders
61,71,Bsc. Sylvia Giles,female,1,1,0,2,3890.0,2712.0,10.0,348.0,622.0,288.0,1005.0,1998.0,1866.0,949.0,1613.0,3015.0,2007,38.75895114607784,-9.157911071825774,1,0.3848296735571089,Bsc,2,55,15291.0,0.2543980119024263,0.1773592309201491,0.0227584853835589,0.0406775227257864,0.0188346085932901,0.0657249362370021,0.1306650971159505,0.1220325681773592,0.0620626512327512,0.1054868877117258,Big Spenders
75,89,Msc. Miguel Levay,male,1,1,1,2,6370.0,1149.0,7.0,357.0,439.0,587.0,784.0,2582.0,1724.0,1219.0,1944.0,1136.0,2004,38.781547727674685,-9.175177364208404,1,0.0666219333185912,Msc,2,65,17155.0,0.3713203147770329,0.0669775575633926,0.0208102593995919,0.0255902069367531,0.0342174293208977,0.0457009618187117,0.1505100553774409,0.1004954823666569,0.0710580005829204,0.1133197318566015,Big Spenders
