,customer_id,customer_name,customer_gender,kids_home,teens_home,number_complaints,distinct_stores_visited,spend_groceries,spend_electronics,typical_hour,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,spend_petfood,total_distinct_products,year_first_transaction,latitude,longitude,has_loyalty_card,treated_percentage_of_products_bought_promotion,Education,Children,Age,Total Amount Spent,percentage_spend_groceries,percentage_spend_electronics,percentage_spend_vegetables,percentage_spend_nonalcohol_drinks,percentage_spend_alcohol_drinks,percentage_spend_meat,percentage_spend_fish,percentage_spend_hygiene,percentage_spend_videogames,percentage_spend_petfood,cluster
7,8,Arthur Dematteo,male,0,0,1,1,7902.0,201.0,13.0,178.0,437.0,10.0,327.0,1.0,47.0,0.0,14620.0,67.0,2005,38.77163740088934,-9.174225226576665,1,0.2091289475149154,No Degree,0,56,23723.0,0.3330944652868524,0.0084727901192935,0.0075032668718121,0.0184209417021456,0.000421531846731,0.0137840913881043,4.215318467310205e-05,0.0019811996796357,0.0,0.616279559920752,Pet Lovers
27,33,Stan Vian,male,0,0,1,1,9889.0,178.0,7.0,36.0,523.0,22.0,132.0,201.0,75.0,0.0,15391.0,41.0,2012,38.72366742211744,-9.206492169804449,1,0.0799166683317014,No Degree,0,80,26447.0,0.3739176466139827,0.0067304420161076,0.0013612129920217,0.0197753998563164,0.0008318523840133,0.0049911143040798,0.0076001058721216,0.0028358604000453,0.0,0.5819563655613113,Pet Lovers
43,50,Doloris Atwell,female,0,0,0,1,10575.0,136.0,14.0,76.0,397.0,55.0,413.0,265.0,106.0,0.0,7679.0,77.0,2009,38.720489942505615,-9.19092486667953,1,0.2046735232003547,No Degree,0,68,19702.0,0.5367475383209827,0.006902852502284,0.0038574763983351,0.0201502385544614,0.0027915947619531,0.0209623388488478,0.013450411125774,0.0053801644503096,0.0,0.3897573850370521,Pet Lovers
46,53,Salvatore Blackmon,male,0,0,0,1,11573.0,214.0,17.0,176.0,428.0,39.0,38.0,274.0,69.0,0.0,12592.0,86.0,2011,38.78388504961138,-9.212755429505076,1,0.2404454093086713,No Degree,0,83,25403.0,0.4555761130575129,0.0084242018659213,0.0069283155532811,0.0168484037318426,0.0015352517419202,0.0014958863126402,0.0107861276227217,0.0027162146203204,0.0,0.4956894854938393,Pet Lovers
51,58,Ann Nall,female,0,0,0,1,12934.0,56.0,11.0,228.0,477.0,15.0,59.0,270.0,47.0,0.0,12831.0,70.0,2012,38.77154560683622,-9.207154824449468,1,0.3091142986828382,No Degree,0,38,26917.0,0.4805141731990935,0.0020804695917078,0.0084704833376676,0.0177211427722257,0.000557268640636,0.002191923319835,0.0100308355314485,0.0017461084073262,0.0,0.4766875952000594,Pet Lovers
65,76,Thomas Davis,male,0,0,1,1,14129.0,10.0,10.0,268.0,473.0,22.0,156.0,352.0,101.0,0.0,6119.0,8.0,2015,38.75371615003524,-9.20087251980267,1,0.1580573850485599,No Degree,0,31,21630.0,0.6532131299121591,0.0004623208506703,0.0123901987979657,0.0218677762367082,0.0010171058714748,0.0072122052704576,0.0162736939435968,0.0046694405917706,0.0,0.2828941285251964,Pet Lovers
77,92,Lura Speis,female,0,0,0,1,6130.0,8.0,18.0,300.0,560.0,43.0,163.0,244.0,135.0,0.0,9732.0,57.0,2009,38.747157549557365,-9.151173856393752,1,0.3276439594753811,No Degree,0,44,17315.0,0.3540282991625758,0.0004620271440947,0.0173260179035518,0.03234190008663,0.002483395899509,0.0094138030609298,0.0140918278948888,0.0077967080565983,0.0,0.5620560207912215,Pet Lovers
88,103,Eunice Sancho,female,0,0,1,1,11971.0,17.0,14.0,336.0,506.0,2.0,162.0,229.0,38.0,0.0,9643.0,68.0,2009,38.77449257256397,-9.15139005234807,1,0.1835725758181164,No Degree,0,34,22904.0,0.5226597974152987,0.0007422284317149,0.0146699266503667,0.0220922109675165,8.732099196646873e-05,0.0070730003492839,0.0099982535801606,0.0016590988473629,0.0,0.421018162766329,Pet Lovers
96,112,Betty Hill,female,0,0,1,1,4576.0,88.0,17.0,96.0,513.0,14.0,124.0,178.0,122.0,0.0,8454.0,90.0,2006,38.76474665821922,-9.156684822403388,1,0.3294849968187079,No Degree,0,49,14165.0,0.3230497705612425,0.0062124955877162,0.0067772679138722,0.0362160254147546,0.000988351570773,0.0087539710554182,0.0125661842569714,0.0086127779738792,0.0,0.5968231556653724,Pet Lovers
101,118,Elizabeth Cummings,female,0,0,0,1,13913.0,105.0,12.0,284.0,651.0,9.0,262.0,69.0,21.0,0.0,6561.0,62.0,2013,38.77368437044617,-9.20424686181627,1,0.1973823359362015,No Degree,0,34,21875.0,0.6360228571428571,0.0048,0.0129828571428571,0.02976,0.0004114285714285,0.0119771428571428,0.0031542857142857,0.00096,0.0,0.2999314285714285,Pet Lovers
