customer_id,customer_name,customer_gender,kids_home,teens_home,number_complaints,distinct_stores_visited,spend_groceries,spend_electronics,typical_hour,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,spend_petfood,total_distinct_products,year_first_transaction,latitude,longitude,has_loyalty_card,treated_percentage_of_products_bought_promotion,Education,Children,Age,Total Amount Spent,percentage_spend_groceries,percentage_spend_electronics,percentage_spend_vegetables,percentage_spend_nonalcohol_drinks,percentage_spend_alcohol_drinks,percentage_spend_meat,percentage_spend_fish,percentage_spend_hygiene,percentage_spend_videogames,percentage_spend_petfood
32,Phd.`s Fishy,male,0,0,0,1,11783.0,13.0,12.0,1191.0,403.0,56.0,91.0,37960.0,152.0,0.0,0.0,26.0,2010,39.35671809565866,-9.3811240824615,1,0.1460783269713407,Phd,0,55,51649.0,0.22813607233441113,0.0002516989680342311,0.023059497763751477,0.007802668009061163,0.0010842417084551493,0.0017618927762396174,0.7349609866599547,0.002942941780092548,0.0,0.0
163,Bsc.`s Fishy,female,0,0,1,1,15867.0,245.0,6.0,733.0,520.0,120.0,62.0,36561.0,82.0,0.0,0.0,19.0,2015,39.35727449719274,-9.38200965835641,1,0.6944724410176764,Bsc,0,72,54190.0,0.2928031002029895,0.004521129359660454,0.013526480900535154,0.009595866396014025,0.0022144307067724672,0.0011441225318324414,0.6746816755859014,0.0015131943162945193,0.0,0.0
211,Bsc.`s Fishy,female,0,0,0,1,15206.0,106.0,10.0,428.0,356.0,115.0,138.0,35195.0,4.0,0.0,0.0,21.0,2010,39.35732345922949,-9.380868649207969,1,0.5350248258399829,Bsc,0,75,51548.0,0.29498719639947235,0.0020563358423217196,0.008302940948242415,0.006906184527042756,0.002230930394971677,0.002677116473966012,0.6827616978350275,7.759757895553658e-05,0.0,0.0
219,Msc.`s Fishy,male,0,0,1,1,14898.0,241.0,17.0,239.0,305.0,115.0,102.0,38476.0,138.0,0.0,0.0,31.0,2021,39.35702662361633,-9.38218920697739,1,0.5584070278979467,Msc,0,26,54514.0,0.2732875958469384,0.004420882709028873,0.00438419488571743,0.005594893054995047,0.0021095498404079685,0.0018710789888835896,0.7058003448655391,0.0025314598084895624,0.0,0.0
245,Laura`s Fishy,female,0,0,1,1,9438.0,119.0,6.0,23.0,358.0,86.0,0.0,44169.0,190.0,0.0,0.0,41.0,2008,38.9624791789633,-9.41790725714642,1,0.2426214246783443,No Degree,0,47,54383.0,0.17354688045896696,0.002188183807439825,0.0004229262821102183,0.006582939521541658,0.0015813765331077726,0.0,0.8121839545446187,0.0034937388522148466,0.0,0.0
304,Allen`s Fishy,male,0,0,1,1,15025.0,376.0,17.0,372.0,479.0,96.0,54.0,44497.0,67.0,0.0,0.0,10.0,2021,39.3569119743028,-9.380850516598445,1,0.3005724470342946,No Degree,0,26,60966.0,0.24644884033723716,0.006167371977823705,0.006101761637634091,0.007856838237706262,0.0015746481645507332,0.0008857395925597874,0.7298658268543122,0.0010989731981760325,0.0,0.0
485,John`s Fishy,male,0,0,1,1,13027.0,36.0,7.0,313.0,232.0,75.0,33.0,35356.0,69.0,0.0,0.0,17.0,2008,39.35729215040983,-9.38096918602763,1,0.5101462491386525,No Degree,0,75,49141.0,0.2650943204248998,0.0007325858244642966,0.006369426751592357,0.004721108646547689,0.0015262204676339513,0.0006715370057589385,0.7194806780488797,0.0014041228302232353,0.0,0.0
498,Daniel`s Fishy,male,0,0,1,1,13536.0,363.0,17.0,20.0,249.0,80.0,40.0,38066.0,146.0,0.0,0.0,31.0,2011,39.357338573706365,-9.380872221135292,1,0.3472884807939806,No Degree,0,61,52500.0,0.2578285714285714,0.006914285714285714,0.00038095238095238096,0.004742857142857143,0.0015238095238095239,0.0007619047619047619,0.7250666666666666,0.002780952380952381,0.0,0.0
637,Dianne`s Fishy,female,0,0,1,1,11689.0,143.0,17.0,39.0,241.0,140.0,87.0,34112.0,24.0,0.0,0.0,36.0,2011,38.96305341799806,-9.416967666165505,1,0.2897978564987965,No Degree,0,61,46475.0,0.2515115653577192,0.003076923076923077,0.0008391608391608392,0.005185583647122109,0.003012372243141474,0.0018719741796664874,0.733986013986014,0.0005164066702528241,0.0,0.0
686,Jon`s Fishy,male,0,0,1,1,11601.0,56.0,7.0,357.0,251.0,88.0,34.0,43289.0,191.0,0.0,0.0,28.0,2021,38.96268475750343,-9.417008818366442,1,0.5933718670470995,No Degree,0,25,55867.0,0.207653892279879,0.0010023806540533768,0.006390176669590277,0.004492813288703528,0.0015751695992267348,0.000608588254246693,0.774858145237797,0.0034188340165034817,0.0,0.0
811,Beth`s Fishy,female,0,0,0,1,11576.0,92.0,8.0,588.0,139.0,98.0,36.0,38868.0,24.0,0.0,0.0,17.0,2017,39.356679815521694,-9.382173726106542,1,0.3323417548944332,No Degree,0,37,51421.0,0.2251220318546897,0.0017891522918651913,0.011435016821921004,0.0027031757453180607,0.0019058361369868341,0.0007001030707298574,0.7558779486980027,0.00046673538048657163,0.0,0.0
859,Curtis`s Fishy,male,0,0,1,1,11784.0,42.0,9.0,194.0,220.0,71.0,112.0,39804.0,60.0,0.0,0.0,6.0,2011,39.357120363321336,-9.381486452440404,1,0.3567297997243844,No Degree,0,65,52287.0,0.22537150725801824,0.0008032589362556658,0.0037102912769904567,0.00420754680895825,0.0013578901065274351,0.002142023830015109,0.7612599690171553,0.0011475127660795226,0.0,0.0
985,Luis`s Fishy,male,0,0,1,1,12138.0,153.0,9.0,670.0,272.0,151.0,63.0,35367.0,59.0,0.0,0.0,26.0,2010,39.356237664922126,-9.382011937570637,1,0.2534887539209757,No Degree,0,64,48873.0,0.2483579890737217,0.0031305628874838867,0.0137090008798314,0.005565445133304688,0.0030896404967978228,0.0012890553066110123,0.7236510956970106,0.0012072105252388845,0.0,0.0
1366,Tom`s Fishy,male,0,0,1,1,14116.0,127.0,17.0,480.0,339.0,51.0,84.0,39700.0,65.0,0.0,0.0,22.0,2010,38.9631625545037,-9.417218448145393,1,0.4949405510819111,No Degree,0,59,54962.0,0.2568319930133547,0.002310687384010771,0.008733306648229687,0.006167897820312216,0.0009279138313744042,0.001528328663440195,0.7223172373639969,0.0011826352752811033,0.0,0.0
1461,Alice`s Fishy,female,0,0,1,1,11036.0,202.0,6.0,507.0,316.0,82.0,96.0,43637.0,100.0,0.0,0.0,40.0,2020,38.96376208550242,-9.416958959171495,1,0.0494504267728536,No Degree,0,26,55976.0,0.1971559239674146,0.0036086894383307133,0.009057453194226097,0.005645276547091611,0.0014649135343718736,0.0017150207231670716,0.7795662426754323,0.0017864799199656996,0.0,0.0
1467,Ruby`s Fishy,female,0,0,0,1,10020.0,211.0,7.0,372.0,312.0,94.0,67.0,35601.0,149.0,0.0,0.0,31.0,2013,38.96237887623124,-9.416375559503866,1,0.2735026463289024,No Degree,0,42,46826.0,0.21398368427796524,0.0045060436509631405,0.00794430444624781,0.006662965019433648,0.002007431768675522,0.0014308290266091487,0.7602827489001837,0.003181992909921838,0.0,0.0
